作者,讚數,時間,連結,貼文內容
魚路小棧精緻鍋物,0,4小時,https://www.facebook.com/groups/traveler168/posts/1860210814494294,Drama抓媽日常家庭聚餐也可以一人開一鍋！超大包廂還有卡拉OK日式木質風格設計的鍋物店蔬食、飲料、冰淇淋自助吧吃到飽蛤蜊10顆39元真的沒看錯呀！新北，完整分享https://dramastory2019.com/yuluhotpot/#美食部落客 #Drama抓媽日常#魚路小棧精緻鍋物 #金山旅遊
Kammon旅遊,0,4小時,https://www.facebook.com/groups/traveler168/posts/1860198724495503,
高樂天,1,10小時,https://www.facebook.com/groups/traveler168/posts/1860067451175297,新店報報!!!!台南知名咖啡店朝連鎖品牌邁進（要加盟需要深思熟慮喔！）簡約文青的店面超舒適的「Django決哥手烘咖啡吧-裕農店」。     「Django決哥手烘咖啡吧」在台南總共有6間營業店面 ，其中小高分享過「決哥咖啡-糖果莊園」卻走老宅早午餐氛圍，而這間「Django決哥手烘咖啡吧-裕農店」開幕至今僅3個月時間，今天原本想買路易莎的咖啡來解解饞，真失望竟然發現路易莎已經結束營業，就在不遠處發現這家決哥咖啡吧有營業，因此就決定進去外帶與各位分享，品嚐完覺得好喝定價合理範圍內，值得樂天小高推薦給您品嚐看看。#Django決哥手烘咖啡吧裕農店 #Django決哥手烘咖啡吧 #台南 #懶人包 #台南美食 #甜點 #東區 #早午餐 #咖啡 #樂天小高 #美食 #樂天 #吃
跟著領隊玩,4,7小時,https://www.facebook.com/groups/traveler168/posts/1860141954501180,Google多達千則4.5分蘭嶼第一必吃竟然不是飛魚，而是冰心透清涼的這一杯，來到蘭嶼的人天天都在吃冰，因為真的太熱了！Google多達千則4.4分好評呢！全文閱讀：https://taiwantour.info/wenwen-taro-ice/
張育萍,1,5小時,https://www.facebook.com/groups/traveler168/posts/1860194207829288,台北捷運國父紀念館站新開幕早午餐咖啡廳，「M5 Coffee介丘咖啡台北光復門市」一開幕就爆紅，一早8點營業，純白玻璃屋門面，網美打卡景點，超美漸層山脈調飲「中央」抹茶咖啡必喝，一早用咖啡療癒一日美好開始。來去喝：https://upssmile.com/216338/m5coffee-officialM5 Coffee介丘咖啡台北光復門市。電話：02 2775 5008。地址：106台北市大安區光復南路346巷56號1樓。營業時間：一二三四五08:00–18:30。六日10:00–18:30。
湯宗霖,0,6小時,https://www.facebook.com/groups/traveler168/posts/1860154707833238,回憶 • TRAVEL ｜USA • CANADA ｜2020/ 0207 - 0215漫遊美國西雅圖，與加拿大精選景點也紀錄下旅行，美好的回憶。…… 查看更多
跟著領隊玩,4,7小時,https://www.facebook.com/groups/traveler168/posts/1860141241167918,Google多達千則4.5分蘭嶼第一必吃竟然不是飛魚，而是冰心透清涼的這一杯，來到蘭嶼的人天天都在吃冰，因為真的太熱了！Google多達千則4.4分好評呢！全文閱讀：https://taiwantour.info/wenwen-taro-ice/
陳怡如,1,5小時,https://www.facebook.com/groups/traveler168/posts/1860181317830577,熊寶貝多元化派車即日起邀請朋友加入官網即贈$20乘車金！不限次數 可累積！服務範圍：桃園、雙北、基隆東部中部南部皆可安排高速不加價夜間無加成24H線上客服為您服務一對一叫車 保障您的隱私歡迎預約、即時叫車機場接送、長途搭乘皆有優惠價貼心提醒尖峰時段務必提早預約叫車避免耽誤您寶貴時間歡迎叫車附上官網帳號@273bpjxd
康韶菲,1,1小時,https://www.facebook.com/groups/traveler168/posts/1860173851164657,HUGO也太活潑可愛了吧! 天啊不愧是大人小孩都喜歡的香菇
謝露西,1,1小時,https://www.facebook.com/groups/traveler168/posts/1860199334495442,"義大利初遊!!!!超級超級喜歡波隆那這個城市的>""""""""<"
金永豐,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860240621157980,東京愛玩樂~高雄出發親子同遊 大人小孩都開心頂級夢幻國度-東京迪工尼著名姻綠神社-冰川神社人氣必遊-台場東京灣X彩虹大橋買東西、吃東西、買東西、吃東西：7/17（三）8/14（三）優惠價：31900/人 加入小編賴立即問LINE ID:  7272200門市地址：高雄市前鎮區永豐路20號 (彰化銀行對面)
江曼寧,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860222334493142,挑戰市場最高CP值巴爾幹全覽9國17天只要 85900  再送小費 (價值6800)【9國共10個世界文化遺產】1. 匈 牙 利- 布達佩斯舊城區2.羅馬尼亞- 吸血鬼德古拉城堡3.保加利亞- 粉色玫瑰卡贊勒克4. 科 索 沃 - 格拉恰尼察修道院5. 馬 其 頓 - 史高比耶首都6.阿爾巴尼亞-地拉那首都7.黑山共和國-科特峽灣世界遺產8.波士尼亞- 莫斯塔爾古橋9.克羅埃西亞-奧西耶克第四大城【包含五大景點入內門票】★普雷穆爾防禦性教堂★布朗城堡（吸血鬼德古拉）★鄉村露天博物館★博雅納教堂★格拉恰尼察修道院諮詢請洽 服務專員：雙向旅行社 曼曼 0970-978-427 https://bit.ly/各國旅遊優惠找曼曼------------------------- 更多旅遊行程 https://bit.ly/國內外旅遊資訊雙向國際旅行社 綜合旅行社 交觀綜字212400號│品保北644號
魚路小棧精緻鍋物,0,4小時,https://www.facebook.com/groups/traveler168/posts/1860210814494294,Drama抓媽日常家庭聚餐也可以一人開一鍋！超大包廂還有卡拉OK日式木質風格設計的鍋物店蔬食、飲料、冰淇淋自助吧吃到飽蛤蜊10顆39元真的沒看錯呀！新北，完整分享https://dramastory2019.com/yuluhotpot/#美食部落客 #Drama抓媽日常#魚路小棧精緻鍋物 #金山旅遊
跟著領隊玩,4,7小時,https://www.facebook.com/groups/traveler168/posts/1860141954501180,Google多達千則4.5分蘭嶼第一必吃竟然不是飛魚，而是冰心透清涼的這一杯，來到蘭嶼的人天天都在吃冰，因為真的太熱了！Google多達千則4.4分好評呢！全文閱讀：https://taiwantour.info/wenwen-taro-ice/
張育萍,1,5小時,https://www.facebook.com/groups/traveler168/posts/1860194207829288,台北捷運國父紀念館站新開幕早午餐咖啡廳，「M5 Coffee介丘咖啡台北光復門市」一開幕就爆紅，一早8點營業，純白玻璃屋門面，網美打卡景點，超美漸層山脈調飲「中央」抹茶咖啡必喝，一早用咖啡療癒一日美好開始。來去喝：https://upssmile.com/216338/m5coffee-officialM5 Coffee介丘咖啡台北光復門市。電話：02 2775 5008。地址：106台北市大安區光復南路346巷56號1樓。營業時間：一二三四五08:00–18:30。六日10:00–18:30。
湯宗霖,0,6小時,https://www.facebook.com/groups/traveler168/posts/1860154707833238,回憶 • TRAVEL ｜USA • CANADA ｜2020/ 0207 - 0215漫遊美國西雅圖，與加拿大精選景點也紀錄下旅行，美好的回憶。熱愛旅行的你，也不忘紀錄下旅行的回憶
跟著領隊玩,4,7小時,https://www.facebook.com/groups/traveler168/posts/1860141241167918,Google多達千則4.5分蘭嶼第一必吃竟然不是飛魚，而是冰心透清涼的這一杯，來到蘭嶼的人天天都在吃冰，因為真的太熱了！Google多達千則4.4分好評呢！全文閱讀：https://taiwantour.info/wenwen-taro-ice/
Sinian Li,1,8小時,https://www.facebook.com/groups/traveler168/posts/1860124584502917,比字典還厚的蚵仔煎 竟然只要銅板價 這份量都可以分成兩份賣啦！ 看看老闆用料多豪邁！興達港-邱家蚵仔煎
陳羽祥,7,3月17日,https://www.facebook.com/groups/traveler168/posts/1835929250255784,在麒麟峰溫泉沐浴，身心溫暖，肌膚嬌嫩滑潤，心靈煥然一新。碳酸氫鈉泉的獨特魅力，真正讓人體驗到溫泉的神奇。这趟旅程，絕對是身心靈的完美療癒。
跟著領隊玩,4,10小時,https://www.facebook.com/groups/traveler168/posts/1860085064506869,全新特色公園山訓設施，有林間擺盪、密林偵查、攀爬高手、叢林危機、翻越終點等六道關卡，多達15種以上的山訓遊戲，讓小朋友玩到不想走。Google高達4.4顆星！#桃園景點 #桃園特色公園全文閱讀：https://taiwantour.info/greenwood-park/
Lu Zheng,0,10小時,https://www.facebook.com/groups/traveler168/posts/1860084201173622,香港最美步道 - 龙脊想趁在香港的几天徒步，原本种草麦理浩径，但无奈时间有限，赶上大热天，于是想选个能快速往返，不太累，风景又好的线路。 找到了【龙脊 】- 它被《孤独星球》评为香港最美徒步线路。 往返3小时，山脊能看两边的海，一路风景都不错。到筲箕湾坐巴士到石澳，大约20来分钟。一路盘山公路，路途见到有不少骑行的人，冲得比车快。
Jason Li,0,10小時,https://www.facebook.com/groups/traveler168/posts/1860083017840407,台灣｜台北｜一個得接受的打卡地難忘的台灣之行
Rick Chang,1,10小時,https://www.facebook.com/groups/traveler168/posts/1860077764507599,小豬漫步──在小豬漫步。
跟著領隊玩,7,12小時,https://www.facebook.com/groups/traveler168/posts/1860030167845692,玩水.油桐花秘境基隆在地人玩水秘境，除了天然的河道之外，尚有攔沙壩的嬉水區，還有油桐花和隱藏版亞馬遜河般的拍照美景呢！全文閱讀：https://taiwantour.info/keelung-mystery/
陳香樺,1,12小時,https://www.facebook.com/groups/traveler168/posts/1859804434534932,在曼谷潑水節的這週 我體驗了↓⒈sala rattanakosin鄭王廟落日餐廳-拍照首選一樓露天或二樓靠窗的位置 要先預約ᜊ•ᴗ•ᜊ⒉搭嘟嘟車-遇到的司機都開超快 好玩！⒊藝術之家做手鍊-珠子的選擇很多 100泰銖就能串自己的手鍊 舒服的小天地ᵒ̴̶̷̤ɞᵒ̴̶̷̤ ⒋ic…… 查看更多
陳莉婷,0,12小時,https://www.facebook.com/groups/traveler168/posts/1859952811186761,紅囍串燒 漁人町店
湯宗霖,0,6小時,https://www.facebook.com/groups/traveler168/posts/1860154707833238,回憶 • TRAVEL ｜USA • CANADA ｜2020/ 0207 - 0215漫遊美國西雅圖，與加拿大精選景點也紀錄下旅行，美好的回憶。熱愛旅行的你，也不忘紀錄下旅行的回憶
陳羽祥,7,3月17日,https://www.facebook.com/groups/traveler168/posts/1835929250255784,在麒麟峰溫泉沐浴，身心溫暖，肌膚嬌嫩滑潤，心靈煥然一新。碳酸氫鈉泉的獨特魅力，真正讓人體驗到溫泉的神奇。这趟旅程，絕對是身心靈的完美療癒。
Lu Zheng,0,10小時,https://www.facebook.com/groups/traveler168/posts/1860084201173622,香港最美步道 - 龙脊想趁在香港的几天徒步，原本种草麦理浩径，但无奈时间有限，赶上大热天，于是想选个能快速往返，不太累，风景又好的线路。 找到了【龙脊 】- 它被《孤独星球》评为香港最美徒步线路。 往返3小时，山脊能看两边的海，一路风景都不错。到筲箕湾坐巴士到石澳，大约20来分钟。一路盘山公路，路途见到有不少骑行的人，冲得比车快。
Rick Chang,1,10小時,https://www.facebook.com/groups/traveler168/posts/1860077764507599,小豬漫步──在小豬漫步。
陳香樺,1,12小時,https://www.facebook.com/groups/traveler168/posts/1859804434534932,在曼谷潑水節的這週 我體驗了↓⒈sala rattanakosin鄭王廟落日餐廳-拍照首選一樓露天或二樓靠窗的位置 要先預約ᜊ•ᴗ•ᜊ⒉搭嘟嘟車-遇到的司機都開超快 好玩！⒊藝術之家做手鍊-珠子的選擇很多 100泰銖就能串自己的手鍊 舒服的小天地ᵒ̴̶̷̤ɞᵒ̴̶̷̤ ⒋ic…… 查看更多
陳莉婷,0,12小時,https://www.facebook.com/groups/traveler168/posts/1859952811186761,紅囍串燒 漁人町店
湯宗霖,1,20小時,https://www.facebook.com/groups/traveler168/posts/1859835491198493,回憶 • TRAVEL ｜USA • CANADA ｜2020/ 0207 - 0215漫遊美國西雅圖，與加拿大精選景點也紀錄下旅行，美好的回憶。熱愛旅行的你，也不忘紀錄下旅行的回憶
跟著領隊玩,3,23小時,https://www.facebook.com/groups/traveler168/posts/1859745201207522,世界都讚嘆坑道三年不到的時間，2個師、3個步兵營、1個工兵營以及1個傾卸車連，打造了讓世界都讚嘆的北海坑道，這裡和大漢據點都是藍眼淚的拍照景點喔！全文閱讀：https://taiwantour.info/mazu-hang-road/
Cherry Huang Cherry,0,1天,https://www.facebook.com/groups/traveler168/posts/1859677551214287,#高雄出發時尚港珠澳4日【赤崁古鎮、世界遺產、入住澳門奢華五星W酒店】 https://tour.lifetour.com.tw/detail/MFMK0423BR02售價：18800元/人(含稅) 起出發日期：5/19、5/266/2、6/16 (赤崁古鎮參訪團)★保證入住澳門奢華五星W酒店+酒店內用自助早餐★保證入住珠海五星鉑爾曼酒店+酒店內用自助早餐★烏鎮集團最新力作~赤崁華僑古鎮+復古噹噹車+雷射水舞秀★澳門世界遺產一日遊+酒店內用自助餐★港進澳出雙點+港珠澳跨海大橋體驗(單程)報名請洽：五福旅行社業務：黃秀琴手機：0938039846Line:hhc0101或行動條碼https://line.me/ti/p/AW7BCvVqnO
宏家旅遊,0,23小時,https://www.facebook.com/groups/traveler168/posts/1859608644554511,宏家旅遊
RLai與Sasa玩生活,0,23小時,https://www.facebook.com/groups/traveler168/posts/1859723951209647,RLai與Sasa玩生活──在今日不食肉的蔬軾。
享受生活不無聊。規小孫,5,1天,https://www.facebook.com/groups/traveler168/posts/1859725911209451,座落在宜蘭蘇澳南方澳漁港旁的選物店＆民宿！宛如日雜般的空間好讓人喜歡～➤ enlifesun.com/norimori-shophouse
台灣旅遊～小鄭旅遊包車／機場長途接送服務,4,1天,https://www.facebook.com/groups/traveler168/posts/1859717657876943,＜平溪老街＞充滿著古樸的風味，沿著斜斜的山坡以及鐵道兩旁，可看見依序建蓋的古厝房舍。假日不妨偕同親朋好友，來這裡放天燈，吃小吃，感受山城美景……
杜佳蓉,0,1天,https://www.facebook.com/groups/traveler168/posts/1859701947878514,尊爵釜山五日保証不走人蔘及護肝-限定5/5、5/6只要15900加贈送小費-E-World主題樂園愛來水族館甘川洞文化村海雲台天空膠囊列車塗鴉秀伽耶主題樂園韓式部隊火鍋馬鈴薯燉豬骨湯無霸烤蚌餐+韓式煎餅+海鮮拉麵竹筒五花肉＋醬醃豬排肉 韓式套餐好吃又好玩 快來報名-雙向國際旅行社索取日期／報名／瞭解其他資訊請聯絡...http://bit.ly/點這私訊Line-欲瞭解其他行程請加入社群詢問https://reurl.cc/MyqaW4均按照國外旅遊定型化契約，安全有保障。
張育萍,1,1天,https://www.facebook.com/groups/traveler168/posts/1859683027880406,台南神等級好喝的芋頭西米露專賣店，銅板美食價格，小塔芋頭西米露專賣店位於台南市東區崇德路上，一週只賣四天，芋頭用料實在，芋頭濃到吸管吸不動，台南飲料店推薦，芋頭控必喝。來去喝：https://upssmile.com/215169/smalltaros小塔芋頭西米露專賣店。電話：06 290 0642。地址：701台南市東區崇德路710號。營業時間： 四五六09:30–20:30。日 09:30–18:30。（週一二三公休）
黃琮傑,0,1天,https://www.facebook.com/groups/traveler168/posts/1859627137885995,每次在台北市玩，或帶外國、外縣市朋友來台北，去的地方總是那些嗎？提供大家一個新的旅遊方式不僅能一起用餐，中途還能在臺北信義區必打卡地標拍照適合朋友、家庭出遊、慶祝節日都適合風雨無阻喲～…… 查看更多
James Wan,0,1天,https://www.facebook.com/groups/traveler168/posts/1859596927889016,
陳莉婷,0,12小時,https://www.facebook.com/groups/traveler168/posts/1859952811186761,紅囍串燒 漁人町店
湯宗霖,1,20小時,https://www.facebook.com/groups/traveler168/posts/1859835491198493,回憶 • TRAVEL ｜USA • CANADA ｜2020/ 0207 - 0215漫遊美國西雅圖，與加拿大精選景點也紀錄下旅行，美好的回憶。熱愛旅行的你，也不忘紀錄下旅行的回憶
Cherry Huang Cherry,0,1天,https://www.facebook.com/groups/traveler168/posts/1859677551214287,#高雄出發時尚港珠澳4日【赤崁古鎮、世界遺產、入住澳門奢華五星W酒店】 https://tour.lifetour.com.tw/detail/MFMK0423BR02售價：18800元/人(含稅) 起出發日期：5/19、5/266/2、6/16 (赤崁古鎮參訪團)★保證入住澳門奢華五星W酒店+酒店內用自助早餐★保證入住珠海五星鉑爾曼酒店+酒店內用自助早餐★烏鎮集團最新力作~赤崁華僑古鎮+復古噹噹車+雷射水舞秀★澳門世界遺產一日遊+酒店內用自助餐★港進澳出雙點+港珠澳跨海大橋體驗(單程)報名請洽：五福旅行社業務：黃秀琴手機：0938039846Line:hhc0101或行動條碼https://line.me/ti/p/AW7BCvVqnO
宏家旅遊,0,23小時,https://www.facebook.com/groups/traveler168/posts/1859608644554511,宏家旅遊
RLai與Sasa玩生活,0,23小時,https://www.facebook.com/groups/traveler168/posts/1859723951209647,RLai與Sasa玩生活──在今日不食肉的蔬軾。
享受生活不無聊。規小孫,5,1天,https://www.facebook.com/groups/traveler168/posts/1859725911209451,座落在宜蘭蘇澳南方澳漁港旁的選物店＆民宿！宛如日雜般的空間好讓人喜歡～➤ enlifesun.com/norimori-shophouse
杜佳蓉,0,1天,https://www.facebook.com/groups/traveler168/posts/1859701947878514,尊爵釜山五日保証不走人蔘及護肝-限定5/5、5/6只要15900加贈送小費-E-World主題樂園愛來水族館甘川洞文化村海雲台天空膠囊列車塗鴉秀伽耶主題樂園韓式部隊火鍋馬鈴薯燉豬骨湯無霸烤蚌餐+韓式煎餅+海鮮拉麵竹筒五花肉＋醬醃豬排肉 韓式套餐好吃又好玩 快來報名-雙向國際旅行社索取日期／報名／瞭解其他資訊請聯絡...http://bit.ly/點這私訊Line-欲瞭解其他行程請加入社群詢問https://reurl.cc/MyqaW4均按照國外旅遊定型化契約，安全有保障。
黃琮傑,0,1天,https://www.facebook.com/groups/traveler168/posts/1859627137885995,每次在台北市玩，或帶外國、外縣市朋友來台北，去的地方總是那些嗎？提供大家一個新的旅遊方式不僅能一起用餐，中途還能在臺北信義區必打卡地標拍照適合朋友、家庭出遊、慶祝節日都適合風雨無阻喲～[臺北市雙層餐車] 來囉本次的餐點是和隱餐飲集團-隱世餐酒館  合作讓您體驗創意臺菜料理～餐點內容奧特曼菜頭粄滷水鮮蔬雞飯藥膳鮑魚軟骨湯焦糖鮭魚蒸蛋紅豆麻糬卷試營運期間為：即日起至4/30包車原價$41600「試營運優惠$37440！！！」ps: 所有價格都是車資+餐點每日18:30出發最晚需在出發前3天預約每週一公休 上車地點為 ”台北捷運市政府站3號出口“ 處預定及了解更多詳情歡迎私訊或致電（02）27965668#2023服務業務：黃琮傑公司名稱：e-go 台灣租車股份有限公司
James Wan,0,1天,https://www.facebook.com/groups/traveler168/posts/1859596927889016,
跟著領隊玩,3,1天,https://www.facebook.com/groups/traveler168/posts/1859580014557374,浪漫地中海有人問Sky這裡真的這麼漂亮嗎！我要告訴你，這是真的，在蔚藍的北海岸，最早的地中海建築，最浪漫的約會勝地！全文閱讀：https://taiwantour.info/north-coast/
吳佩勳,0,1天,https://www.facebook.com/groups/traveler168/posts/1859562041225838,\小資族首選行程/團費21900起（含稅險）半自助東京五日遊讓大家玩的開心又可以顧到錢包忍野八海淺草雷門小江戶川越冰川神社團費只要：21900元 出發日期：5/13、5/15、5/165/26、5/27、5/28、5/30、6/106/16、6/17、6/18、6/209/4、9/5、9/7、9/19、9/25、9/2810/4、10/11、10/15、10/19、10/21「暑假23900元」出發日期：7月全數滿額8/1、8/2、8/4、8/7、8/9、8/12、8/23、8/26光機票就不止這個價錢了在猶豫就沒位子了了解詳情https://lin.ee/vnwRD3C服務業務：林佩玲聯絡電話：0978756521公司名稱：雙向國際旅行社交觀綜2124號| 品保北644號
跟著領隊玩,2,1天,https://www.facebook.com/groups/traveler168/posts/1859526147896094,老婆近年最滿意的甕缸雞，外皮酥脆內多汁，一撕開雞汁到處流，搭配雞油和胡椒更迷人，其他菜色也是鹹香美味，Google 8500多則4.3顆星好評！全文閱讀：https://taiwantour.info/pan-cut-field/～～～～番割田甕缸雞||店家資訊地址：268宜蘭縣蘇澳鎮海山西路309號電話：039909338營業時間：11:00–16:00／16:30–20:00
跟著領隊玩,5,1天,https://www.facebook.com/groups/traveler168/posts/1859523124563063,台東首間無人自助服務旅店，平均1人只要315元起！進房和退房只在彈指間，房間也是密碼鎖，完全不用鑰匙呢！旁邊就是超熱鬧的鐵花村和台東客運轉運站，超方便的！全文閱讀：https://taiwantour.info/inn-day-moon-hotel/https://www.facebook.com/reel/1132213828125523
童小紫,1,1天,https://www.facebook.com/groups/traveler168/posts/1859477884567587,
高樂天,1,1天,https://www.facebook.com/groups/traveler168/posts/1859482297900479,置身在河樂廣場旁剛開幕半年日式拉麵專門店「森一男豚骨拉麵」。這間「森一男豚骨拉麵」是看到格友分享才收入口袋名單，今天就利用假日午餐時間專程前來品嚐，森一男拉麵就在知名河樂廣場旁的透天店面，這間拉麵店裡面設置座位數量相當多，因此來用餐遇到客滿的狀況相對會偏低，觀看菜單主打豚骨湯頭的拉麵店，以豚骨湯底為基礎發展出5重風味可選擇，小高品嚐覺得中規中矩定價合理範圍，值得樂天小高推薦給您品嚐看看。＃森一男豚骨拉麵 ＃日式拉麵 ＃拉麵 ＃台南 ＃懶人包 ＃台南美食 ＃中西區 ＃日式 ＃丼飯 ＃樂天小高 ＃美食 ＃高樂天 ＃樂天 ＃吃
朱濼藝,0,1天,https://www.facebook.com/groups/traveler168/posts/1859477124567663,個人套餐限時優惠中！！https://www.facebook.com/share/p/c8SzjVM3RHYd87Vv/?mibextid=WC7FNe
森林四季·泥地裡的小蝸牛與鹿,1,1天,https://www.facebook.com/groups/traveler168/posts/1859505411231501,4月份的森林女巫日 在 4/28（日），如果你剛好看到、剛好停留了一下，請接下這份召喚吧！這是緣起於森林生活、在自然、土地、植物之間的分享，在這一個場次還有梵唱帶領人Durga的陪伴。詳情請見：https://forms.gle/ubu6S3rQCre4r3yB7- …… 查看更多
