作者,讚數,時間,連結,貼文內容
跟著領隊玩,2,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1863245354190840,特色公園朋友啊超快四樓高水管溜滑梯、２座滑石子溜滑梯、超大攀岩場、爬網、旋轉椅、平衡設施、足球場和籃球場，鄰近新寮休閒步道和老公崎步道，再提供周邊美食給大家喔！全文閱讀：https://taiwantour.info/renai-park/
張育萍,2,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1863223157526393,桃園平鎮早午餐咖啡廳，中壢美食推薦，近中壢交流道美食餐廳「Degrees° café 度°」，超寬敞大空間，木質色調混工業風氛圍，打造桃園植栽森林系餐廳，環境好舒服，適合情侶約會與三五好友聚餐，全天候從桃園早午餐到下午茶與晚餐，餐點精緻豐富，橫掃IG網美打卡桃園景點，從早午餐到晚餐，餐點豐富，好吃好拍，桃園平鎮下午茶，桃園咖啡廳收口袋，附Degrees° café 度°菜單。來去吃：https://upssmile.com/217142/degrees-cafeDegrees° café 度°。電話：03 491 6566。地址：324桃園市平鎮區環南路22號。營業時間：10:00-20:00。(週二公休)
高樂天,0,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1863194734195902,新店報報!!!!!巷弄老宅寵物友善餐廳，獨特採用木炭直火料理早午餐餐點「島旅•brunch」。這間新開幕「島旅•brunch」是看格友分享才收入口袋名單，第一次前來遇到店面整修中敗興而歸，今天在台南用完午餐忽然想吃甜點，臨時決定專程前來品嚐與各位分享，「島旅•brunch」店面就選擇在虎尾寮社區裡巷弄民宅裡，老宅精心規劃下呈現浪漫優雅的氛圍，觀看店家臉書得知，早午餐餐點是採用木炭來料理食材，餐點增添炭火香氣令人超級期待，可惜小高中午已經吃飽，只能捨棄早午餐餐點與大家分享，小高就點咖啡跟甜點當作下午茶享用，品嚐完覺得很美味定價可接受範圍，值得樂天小高極力推薦給您品嚐。#島旅brunch #台南 #懶人包 #台南美食 #甜點 #日式 #東區 #早午餐 #咖啡 #樂天小高 #美食 #高樂天 #樂天 #吃
跟著領隊玩,1,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1863185484196827,百萬夜景新北市五股除了觀音山，還有這裡可以看百萬夜景，更是櫻花秘境！這可是在地人才知道的私房約會景點，尤其冬天又有櫻花可以看，重點是不用走太遠︿︿白天夜晚都美麗～全文閱讀：https://reurl.cc/xaOp35
黃益霖,0,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1863172744198101,慶祝母親節的好地方
跟著領隊玩,4,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1862959390886103,最適合外帶的下午茶在地人最愛的隱藏版街邊小吃，每天從下午茶時段開賣，尤其是Ｑ脆的米腸和Sky超愛的蒜香醬料，吃完讓人想要再買一份呢！但有時不太準時上班，Sky就撲空過一次！全文閱讀：https://taiwantour.info/yilan-snack/
Entin,0,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1862943164221059,Lala熊四月份試營運開放啦即日起邀請朋友加入官方好友即贈20$ ［限時優惠 趕緊把握］立即私訊詢價 立即回覆夜間不加價高速不加價七折車版接機免費等待一小時加點3公里內免費基本費50元1公里20元-----輕鬆出門 安心搭乘----- 職業駕駛執照其他車種價錢另計偏遠地區或山區另算\   線上預約 訂車真方便   /+LINE(line)預約 @273bpjxd私訊我 一對一詢問預約專車接送服務找Lala熊安全搭乘 平安抵達目的地#機場接送#高鐵接送#專車接送#包車旅遊#長途預約#客製化行程#台灣包車
麥克,0,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1862951590886883,彰化田尾康乃馨花季親子寵物餐廳景點https://www.facebook.com/share/p/kfKvTrxXQVRDmfkY/?mibextid=WC7FNe
陳怡如,0,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1862856747563034,Lala熊四月份試營運開放啦即日起邀請朋友加入官方好友即贈20$ ［限時優惠 趕緊把握］立即私訊詢價 立即回覆夜間不加價高速不加價七折車版接機免費等待一小時加點3公里內免費基本費50元1公里20元-----輕鬆出門 安心搭乘----- 職業駕駛執照其他車種價錢另計偏遠地區或山區另算\   線上預約 訂車真方便   /+LINE(line)預約 @273bpjxd私訊我 一對一詢問預約專車接送服務找Lala熊安全搭乘 平安抵達目的地#機場接送#高鐵接送#專車接送#包車旅遊#長途預約#客製化行程#台灣包車
Elvis She,0,2024-04-27,https://www.facebook.com/groups/traveler168/posts/1862877997560909,泰國自由行 | 暹羅古城 | 世界最大戶外博物館，開高爾夫球車逛園區!!還有鬼屋可以玩!!EP4
李育青,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862930887555620,#桃園出發台灣虎航小松進名古屋出不同點進出不走回路#前10名報名付訂每位折2000元【立山夏物語】立山黑部上高地溫泉美饌松名日出發日期7月4.11.18.258月1.8.15.22.29 9月5.12.19售價$36900起黑部立山、上高地、兼六園、高山、合掌村、爵士之夢長島OUTLEThttps://tour.lifetour.com.tw/detail/KMQT6IT23006......報名請洽 #五福旅遊 李育青聯繫電話 0989779871Line帳號 https://tinyurl.com/25mgcfyf
跟著領隊玩,5,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862804480901594,隱藏版玩水區，整條溪都是玩水點，還可以跳水呢！Sky看到許多人來溯溪呢！建議大家帶午餐來這裡吃，邊吃邊玩超放鬆！全文閱讀：https://taiwantour.info/taian-water-play/
陳羽祥,11,2024-03-17,https://www.facebook.com/groups/traveler168/posts/1835929250255784,在麒麟峰溫泉沐浴，身心溫暖，肌膚嬌嫩滑潤，心靈煥然一新。碳酸氫鈉泉的獨特魅力，真正讓人體驗到溫泉的神奇。这趟旅程，絕對是身心靈的完美療癒。
James Wan,2,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862887140893328,"#東京 #迴轉壽司根室花丸銀座店《日本– 東京》https://www.instagram.com/reel/C6OevZbo99p/?igsh=MzRlODBiNWFlZA==評分：8/10 星 根室花丸 銀座店，是從11點開店起就會大排長龍的人氣店！從北海道來的新鮮漁獲，搭配多樣化的選擇，讓人根本停不下來嘴巴動作。 這家店在東急PLAZA銀座的10樓，一進去就能感受到北海道的味道，那鮮美的壽司香氣簡直讓人食指大動。別看這店平價，他們的食材可是挑挑剔剔的時令漁獲，尤其以北海道根室地區的食材為主。 不管什麼時候來，都是座無虛席，簡直是排隊排到天荒地老的程度！但好處是，可以先抽個號碼，順便在銀座逛逛，時間就過得很快了。他們的菜單貼心到連外國人都考慮進去了，上面標有日文、英文、中文、韓文，還有顏色盤子對應價格，方便極了！ 推薦他們的炙燒比目魚、花咲蟹味噌湯以及醬油醃漬紅鮭魚子，濃郁的鮮甜口感與鹹香的醬油味道，叫人回味無窮啊！還有那兩層生扇貝，一口咬下去，海味滿滿，特有的甘甜與柔嫩口感，好食到流眼淚！別忘記油香豐富的炙燒比目魚，一口吃進嘴裏叫人直接升天除了基本款的壽司外，還有北海章魚頭、比目魚昆布捲、北上鰤魚等多種驚喜口味。 價格實惠的迴轉壽司，讓人可以盡興地吃，但有點可惜的是熟食選擇少了些。不過，他們每天都會到根室的漁港找美味，所以食材新鮮好到沒話說！這家店的壽司真是值得一試，新鮮又美味，而且價格實在，是來銀座必訪的店家之一！地址：迴轉壽司 根室花丸 銀座店日本〒104-0061 Tokyo, Chuo City, Ginza, 5 Chome−2−1 東急プラザ銀座 10階"
Chilly Wu,1,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862906130891429,台南美食知名連鎖餐廳又有新品上市囉！「手工香草麵包早午餐盤」的供應時間是10:00至14:00，目前推出四款，精緻且美味！另推薦沙拉，以大量拌過檸檬油醋醬的生菜打底，搭配一整顆片下來的富士蘋果花圈，並擺上香草舒肥雞胸肉，酸甜開胃，份量足以當作正餐！該店的舒芙蕾厚鬆餅、創意咖啡也是人氣必點項目！成真咖啡自創業以來，秉持著「讓咖啡循環世界美好」的核心理念，將獲利50%捐助於非洲潔淨水計畫，在非洲當地興建水井並進行衛生宣導工作，協助居民取得乾淨的飲用水，立意良善！所以說店裡的每一杯咖啡、每一份餐點，都是對非洲潔淨水計畫的支持，咱們享用美食之餘還能做好事，實在沒理由不來捧場！ 辣起司炙燒舒肥雞 早午餐 椒麻香酥炸雞 早午餐 甜蘋果舒肥嫩雞 沙拉 黑糖珍珠奶茶 舒芙蕾 鳳梨冰美式 杜鵑 茶染金栗 Line加入成真咖啡會員，可免費獲得黑咖啡一杯！還有飲品買一送一券！優惠享不停！==============【店名】成真咖啡(台南正興店)【地址】台南市中西區海安路二段78號【電話】06-222-8285【營業時間】10:00~21:00 (週一公休)【備註】採自由入座制，無收服務費，低消為一個品項#海安路美食#台南中西區美食#台南早午餐推薦==============詳全文https://smartrabbit.pixnet.net/blog/post/50817816
Ken Alice,1,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862905737558135,吃了10年的火鍋店，真材實料吃得到安心，沒什麼比這個更重要了~#2202火鍋。樂活地址：南港區忠孝東路七段369號10樓
Cherry Huang Cherry,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862873350894707,#台北出發台灣虎航小松進名古屋出立山夏物語～立山黑部上高地溫泉美饌松名6日※不同點進出不走回路出發日期7/4.11.18.258/1.8.15.22.29 9/5.12.19售價($)36900元起黑部立山、上高地、兼六園、高山、合掌村、爵士之夢長島OUTLEThttps://tour.lifetour.com.tw/detail/KMQT6IT23006......報名請洽：五福旅行社業務：黃秀琴手機：0938039846Line:hhc0101或行動條碼https://line.me/ti/p/AW7BCvVqnO
柏零不一樣 Berlin Enchanted,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862872580894784,今年元宵節和老公一起到宜蘭表妹家作客，表妹夫帶著我們一起到超受在地人喜愛的週六限定冬山夜市大吃特吃！夜市本身超大而且人潮洶湧，而且有超多宜蘭才有的在地美食！而且為了慶祝元宵節，還放了600秒的華麗高空煙火。如果你還沒去過宜蘭冬山週六夜市，那你下次去宜蘭時就千萬不要錯過了！
高樂天,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862841220897920,新店報報!!!!!正宗來自小琉球傳承三代老字號蔥油餅，6月11之前一率打8折優惠，顛覆傳統印象令人回味無窮啊！「老李蔥油餅」。這間「老李蔥油餅」是看到格友分享才收入口袋名單，從沒去小琉球的我當然不知有這項美食，剛好今天來鹽埕區就順路前來購買品嚐，這間「老李蔥油餅」是李爺爺家人親自來高雄開設的，因剛開幕地點又偏僻生意似乎不是很好，老李蔥油餅完全顛覆我對蔥油餅刻板印象，製作的麵糰揉製成厚實的條狀，經過油炸後咬起來酥脆軟Q超好吃，值得樂天小高極力推薦給您品嚐。#老李蔥油餅 #小琉球美食 #蔥油餅 #鼓山區 #小吃 #懶人包 #高雄 #高雄美食 #樂天小高 #美食 #高樂天 #樂天 #吃
高樂天,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862836067565102,新店報報!!!!!正宗來自小琉球傳承三代老字號蔥油餅，6月11之前一率打8折優惠，顛覆傳統印象令人回味無窮啊！「老李蔥油餅」。這間「老李蔥油餅」是看到格友分享才收入口袋名單，從沒去小琉球的我當然不知有這項美食，剛好今天來鹽埕區就順路前來購買品嚐，這間「老李蔥油餅」是李爺爺家人親自來高雄開設的，因剛開幕地點又偏僻生意似乎不是很好，老李蔥油餅完全顛覆我對蔥油餅刻板印象，製作的麵糰揉製成厚實的條狀，經過油炸後咬起來酥脆軟Q超好吃，值得樂天小高極力推薦給您品嚐。#老李蔥油餅 #小琉球美食 #蔥油餅 #鼓山區 #小吃 #懶人包 #高雄 #高雄美食 #樂天小高 #美食 #高樂天 #樂天 #吃
跟著領隊玩,3,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862809564234419,台東CP值爆表的住宿，價格不能說，比背包客棧還便宜！網路限定優惠！現場和電話沒有優惠，飯店就在市區，還提供免費車位，靠近鯉魚山、鐵花村和山海鐵馬道等景點，很適合親子入住喔！#台東住宿 #台東飯店全文閱讀：https://taiwantour.info/ruyigroup/
宏家旅遊,1,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862798870902155,宏家旅遊
Tony Po,1,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862798114235564,義大利蜜月之旅vlog#14來到佛羅倫斯，烏菲茲美術館絕對是一個必去參觀的地方，他收藏了美第奇家族幾百年來累積下來的藝術品，1000多幅畫作及400多件雕像，完美的詮釋文藝復興的輝煌史，最重要的一點是當初最後一代美第奇家族把美術館捐給佛羅倫斯政府時，定下了館內藝術品永不外借的規定，這又讓這個美術館多了一層美麗的面紗，一定要當場親眼去欣賞。義大利是個有眾多人文古蹟的地方，要說比薩斜塔，應該無人不知無人不曉，雖然比薩這個地方是個小鎮，但斜塔這個美麗的錯誤卻每年都會有大批的旅客來這邊扶塔，沒想到親眼看到這個斜塔居然比想像中的還要斜。丁骨牛排是從佛羅倫斯傳出來的，在佛羅倫斯的最後一餐當然還是首選丁骨牛排啦，但前一天的ZaZa體驗其實不是太好，所以我們選了另一家也算有名的牛排館，來看看是哪一家在我們心裡排名比ZaZa高吧
跟著領隊玩,4,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862785230903519,隱藏版玩水區，整條溪都是玩水點，還可以跳水呢！Sky看到許多人來溯溪呢！建議大家帶午餐來這裡吃，邊吃邊玩超放鬆！全文閱讀：https://taiwantour.info/taian-water-play/
陳淑雅,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862626387586070,#牛乳千层吐司#软软糯糯 奶香味十足 倍尝新鲜 入口绵软 适合当早餐 ~~可以一层一层撕着吃健康又不增肥的第一选择 ~~营养代餐 吃完不胖 具有饱腹感建议搭配煎蛋、酸奶一起吃哦美味一口接一口 保证吃完忘不掉健康又美味 吃不完就冷藏收。想吃时可以用烘炉oven热个15 秒 或者 蒸炉开火水滚后关火焖一下就可以吃啦 由于FB不能回复太多讯息，所以只回复自行PM我的。
Eriba Taiwan,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862628777585831,Eriba Taiwan
Alex Liu,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862647174250658,時序進入陽光明媚的春季，台北文華東方酒店「Bencotto」義大利餐廳即日起推出全新春季菜單。此次菜單由來自義大利威尼斯的主廚艾曼紐．貝爾加莫(Emanuele Bergamo) 特別挑選當令新鮮頂級食材，包括白蘆筍、綠蘆筍、帝王蟹和澳洲和牛等，將餐廳六成的菜色全面更新，精心打造出一系列春日美饌，在盤中呈獻和煦春日的繽紛盎然，菜單中的精選美饌包括：「碳烤白蘆筍佐蛋黃醬、魚子醬」、「帝王蟹手工短管麵」、「慢燉頂級牛小排佐綠蘆筍」，以及「紐西蘭高地和羊肋排」等。
紫色微笑。Ben&Jean的饗樂生活,2,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862694250912617,日本風觀光工廠，千本鳥居美食餐廳.環影劇場.和菓子DIY.天狗.武士盔甲.忍者超好拍
李發財,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862723000909742,
黃益霖,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862746377574071,慶祝母親節的好地方
Paul Wang,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862735917575117,吉航新品上架​說走就走.泰享天倫樂~華欣親子尊爵5日 ~全程五星酒店.舢板船遊水上市場. VANANAVA水上樂園.野生動物園六人成行​​行程特色747咖啡廳(含咖啡+甜點一套) Iconsiam暹羅天地夜遊昭披耶河爆笑鐵支路古法按摩暹羅威尼斯Siam Venezia (含貢多拉遊船)曼谷全新開幕～泰國版築地海鮮市場​團費:36900/人出發日期:6/23、6/24、6/25​+1000/人:6/26、6/28、6/29、6/30、7/1、7/2、7/7、7/8、7/9、7/14、7/15、7/16、7/21、7/22、7/23、7/28、7/29、7/30、8/4、8/5、8/6、8/11、8/12、8/13、8/18、8/19、8/20、8/25、8/26、8/27​+2000/人:7/3、7/4、7/5、7/6、7/10、7/11、7/12、7/13、7/17、7/18、7/19、7/20、7/24、7/25、7/26、7/27、7/31、8/1、8/2、8/3、8/7、8/8、8/9、8/10、8/14、8/15、8/16、8/17、8/21、8/22、8/23、8/24、8/28、8/29、8/30、8/31​王博彥 吉航旅遊 歡迎來電洽詢 0905-259-594 加入 LINE 好友請 搜尋ID : jhtour888
任秋磊,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862717750910267,
江曼寧,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862715057577203,
林樂閉,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862701524245223,季節限定二日遊台中出發保證出團~5/16、5/23台灣八大祕境之一老梅綠石槽士林官邸花卉展金山老街-雙向國際旅行社股份有限公司綜合旅行社 旅遊規劃師 Gwin林宜郡交觀綜字212400號｜品保北644號  統編23909068 臺南市北區育德一街116號0916-512-235Line@0916512235g可聯繫Gwin小樂一對一服務
林樂閉,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862700510911991,紫藤東京立山黑部雪壁合掌村雙溫泉六日搭乘國泰航空優惠日期5/9、5/13 39900元  送小費足利紫藤花卉公園黑部峽谷大壩白川鄉合掌村三大名園~金澤兼六園六種交通工具上山富士芝櫻祭-雙向國際旅行社股份有限公司綜合旅行社 旅遊規劃師 Gwin林宜郡交觀綜字212400號｜品保北644號  統編23909068 臺南市北區育德一街116號0916-512-235Line@0916512235g可聯繫Gwin小樂一對一服務
邱建強,2,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862694067579302,楠薑醃漬桃接李脆甜爽口，好吃。
跟著領隊玩,10,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862288027619906,親子桐花秘境話說新竹山區的自然景觀相當豐富，今天就帶大家到其中一個親子秘境，這裡保留完整的百年糯米橋，大自然的水濂洞和一線天，沿途有小蝦和螃蟹呢！也是賞油桐花和螢火蟲的秘境，沒有車的人可以搭乘台灣好行獅山線喔！全文閱讀：https://taiwantour.info/hsinchu-trail/
孫曼曼,5,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862304357618273,Woment 心動時刻
康韶菲,6,2024-04-23,https://www.facebook.com/groups/traveler168/posts/1860173851164657,HUGO也太活潑可愛了吧! 天啊不愧是大人小孩都喜歡的香菇
鄭玉潔,0,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862622854253090,純白美美的教堂隨手拍都出大片
跟著領隊玩,5,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862621590919883,這間超美的景觀溫泉檜木湯屋，除了可以一覽峽谷景色，還可以近距離欣賞千年五葉松，尤其在夕陽西下時，那餘暉灑落，真的超美的！#谷關 #谷關溫泉 全文閱讀：https://taiwantour.info/utopia/
九歐旅行家-露營車出租-車泊車宿,2,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862618367586872,4、5月是露營的好季節~看看 都包場了!!台中有許多寬闊的露營地一起來去露營吧~
Yu Chen,2,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862619387586770,舊名「滬尾」的淡水是個充滿歷史的小鎮，老街、古蹟、小吃、景觀餐廳在這裡都有，坐落淡水河旁的【水灣餐廳 榕堤店】，在2021年重新改裝，整個景致讓人耳目一新，在這喝下午茶賞景，可度過優閒午後時光，若與周邊景點一起走走逛逛，也是很棒的半日遊或一日遊喔!
跟著領隊玩,15,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862555660926476,出發玩水新北市天然的玩水秘境，乾淨又舒服的溪水，加上一點點的人工，攔沙壩變成了SPA區，還是深 50公分／長25公尺的雙水道兒童戲水區，上下游則是大人的游泳池！絕對是夏天玩水首選！全文閱讀： https://taiwantour.info/shuangxi-play-water/
張育萍,5,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862581384257237,台北信義區文青新地標，純白獨棟玻璃屋建築「吉祥道」，複合式經營達永建設建案、紅氣球獨立書店、萬秀洗衣店、COFFEE LAW萬秀樓頂店、選物店，台北網美景點，捷運市府站美食景點，台北旅遊好好玩。來去玩：https://upssmile.com/215856/ji-xiang-dao吉祥道Jíxiáng dào。電話：無。地址：110台北市信義區基隆路一段89號（白色建築）。營業時間：週一至週四 11:00-20:00。週五至週日 11:00-21:00。
Golden Hsin,1,2024-04-26,https://www.facebook.com/groups/traveler168/posts/1862587704256605,[美食]台北美食推薦。梨谷韓式鐵板炭火烤肉獨創結合韓式火烤與鐵板燒的餐廳，而且還有多道還原韓國當紅電視節目的美食，來這裡像是韓式豆腐鍋、部隊鍋、石鍋拌飯、海鮮煎餅、辣炒年糕、韓式炸雞…等經典必吃的韓式餐點都吃的到，梨谷韓式鐵板炭火烤肉一百多塊錢起的消費在台北可說是超級平價，除了超多好料可以吃也有不少特別的韓式調酒可以喝，非常適合三五好友來這裡聚聚喲！[縣市]：台北信義[店名]：梨谷韓式鐵板炭火烤肉[地址]：台北市信義區忠孝東路五段699號[時間]：11:00-00:00[電話]：0287851014
