作者,讚數,時間,連結,貼文內容
跟著領隊玩,3,6小時,https://www.facebook.com/groups/traveler168/posts/1860628701119172,油桐花玩水景點隱身在桃園龍潭近百年的糯米橋，優美的橋拱是許多網美的拍照秘境，附近還有五月雪油桐花呢！更串連三坑自行車道、三坑老街，中午可安排石門活魚大餐，再來個古道漫遊就是完美的一日行程！全文閱讀：https://taiwantour.info/daping-red-bridge-trail/
Andy Chou,0,6小時,https://www.facebook.com/groups/traveler168/posts/1860447594470616,台南親子二日遊！台南在地人帶你玩，台南親子旅遊省錢新玩法~台南旅遊美食護照，一本$999，加碼贈送萬國通路手提箱(市價$4580)
大鵬灣國家風景區管理處,1,6小時,https://www.facebook.com/groups/traveler168/posts/1860618407786868,#恆春墾丁 #屏東旅遊關山夕照名列恆春八景。關山位於恆春半島西南方、又名高山巖、全區為隆起珊瑚礁台地、海拔高度約152公尺，由於地勢高，是墾丁國家公園內觀賞夕照及遠眺恆春半島各區的最佳地點。
康韶菲,2,20小時,https://www.facebook.com/groups/traveler168/posts/1860173851164657,HUGO也太活潑可愛了吧! 天啊不愧是大人小孩都喜歡的香菇
Chenghao Huang,0,14小時,https://www.facebook.com/groups/traveler168/posts/1860433344472041,[台中旅遊]入住位於交通樞紐台中車站旁新開幕不久的台中東旅，還特別挑選了有附浴缸的行政客房房型，採光好、鬧中取靜，價位也合宜。早餐之外，更提供午茶、宵夜，讓住宿者隨時都不會餓。更重要的是館內還併設有千歲月足體養生工坊，提供住客半身經絡按摩優惠方案，無論商務還是休間度假，都讓旅行更加放～輕～鬆。[旅宿、按摩／台中中區]https://bit.ly/kisara_02347
跟著領隊玩,4,16小時,https://www.facebook.com/groups/traveler168/posts/1860389681143074,終於讓我等到油桐花開的日子^^，這是一條親子路線的秘境^^哥哥和妹妹都可以輕鬆走完全程，嬰兒車也很方便喔︿︿趕快跟著我們一起出來玩︿︿ 全文閱讀：https://taiwantour.info/tung-flower-secret/
Cherry Huang Cherry,0,18小時,https://www.facebook.com/groups/traveler168/posts/1860316857817023,#桃園出發釜山旅遊  給你不一樣的選擇濟州航空  新品上架滿滿 5天 // 讓你盡情玩到嫑嫑的…… 查看更多
Kao May,1,16小時,https://www.facebook.com/groups/traveler168/posts/1860328244482551,
Amy Lin,0,16小時,https://www.facebook.com/groups/traveler168/posts/1860348847813824,愛吃海鮮的朋友，真的別錯過這家新開的店面。
Qian Hedy,0,16小時,https://www.facebook.com/groups/traveler168/posts/1860367187811990,#淂藝洋行 #九份咖啡廳 #九份美食 #瑞芳美食想在九份老街找間老宅咖啡廳，推薦淂藝洋行，餐點實在又大份、價格合理。這次點了紅酒牛肉、鬆餅都很喜歡，味道很棒，店家氣氛也很溫馨…… 查看更多
Kinmen Tour,0,16小時,https://www.facebook.com/groups/traveler168/posts/1860366151145427,無論你是尋找冒險、靜謐還是奇幻我們的 #極光團將帶你穿越極地探索大自然的神秘之美準備好啟程了嗎？立即預訂你的圓夢之旅…… 查看更多
陳冰穎,22,1月24日,https://www.facebook.com/groups/traveler168/posts/1806310579884318,來推薦一間新開幕的足體養生會館「大都會足體養生會館」按完會讓您想大喊再來一次，每位專業師傅的手法都招招到位，由淺層再到深層，疏通您所有經絡，維持全身的氣血順暢，極致放鬆指壓按摩不管是經絡或是穴道加壓，緩解身體所有痠痛，都能夠為您解決締造無數的優良口碑，趕緊打電話預約還有體驗的優惠價格。太慢打電話預約就訂不到位大都會足體養生會館店家資訊地址：板橋區南雅南路一段5號(鄰近南雅夜市，85度c正對面)，周邊共三間停車場走路都約2~3分鐘。LINE 預約：https://lin.ee/1Ank2J9預約專線：(02)2272-8889開幕營業時間：上午10：00～凌晨02：00(之後改為24小時)
衙門打工仔的日常,0,5小時,https://www.facebook.com/groups/traveler168/posts/1860639647784744,更新澳洲自由行8天7夜的第3天到現在還是非常想念墨爾本雖然墨爾本沒有一個顯著的地標不過天際線是真的很好看尤其是散步在這城市中可以感受到的文藝氛圍
康韶菲,2,20小時,https://www.facebook.com/groups/traveler168/posts/1860173851164657,HUGO也太活潑可愛了吧! 天啊不愧是大人小孩都喜歡的香菇
Chenghao Huang,0,14小時,https://www.facebook.com/groups/traveler168/posts/1860433344472041,[台中旅遊]入住位於交通樞紐台中車站旁新開幕不久的台中東旅，還特別挑選了有附浴缸的行政客房房型，採光好、鬧中取靜，價位也合宜。早餐之外，更提供午茶、宵夜，讓住宿者隨時都不會餓。更重要的是館內還併設有千歲月足體養生工坊，提供住客半身經絡按摩優惠方案，無論商務還是休間度假，都讓旅行更加放～輕～鬆。[旅宿、按摩／台中中區]https://bit.ly/kisara_02347
Kao May,1,16小時,https://www.facebook.com/groups/traveler168/posts/1860328244482551,
Amy Lin,0,16小時,https://www.facebook.com/groups/traveler168/posts/1860348847813824,愛吃海鮮的朋友，真的別錯過這家新開的店面。
Qian Hedy,0,16小時,https://www.facebook.com/groups/traveler168/posts/1860367187811990,#淂藝洋行 #九份咖啡廳 #九份美食 #瑞芳美食想在九份老街找間老宅咖啡廳，推薦淂藝洋行，餐點實在又大份、價格合理。這次點了紅酒牛肉、鬆餅都很喜歡，味道很棒，店家氣氛也很溫馨
Kinmen Tour,0,16小時,https://www.facebook.com/groups/traveler168/posts/1860366151145427,無論你是尋找冒險、靜謐還是奇幻我們的 #極光團將帶你穿越極地探索大自然的神秘之美準備好啟程了嗎？立即預訂你的圓夢之旅請私訊或加LINE:https://lin.ee/TH78x6O服務熱線: 082-311990
魚路小棧精緻鍋物,1,23小時,https://www.facebook.com/groups/traveler168/posts/1860210814494294,Drama抓媽日常家庭聚餐也可以一人開一鍋！超大包廂還有卡拉OK日式木質風格設計的鍋物店蔬食、飲料、冰淇淋自助吧吃到飽蛤蜊10顆39元真的沒看錯呀！新北，完整分享https://dramastory2019.com/yuluhotpot/#美食部落客 #Drama抓媽日常#魚路小棧精緻鍋物 #金山旅遊
跟著領隊玩,5,20小時,https://www.facebook.com/groups/traveler168/posts/1860275867821122,東海岸最美的沙灘之一，在岸邊玩水看魚只是基本，其實你還可以浮潛、SUP和獨木舟，用不同的角度看海喔！全文閱讀：https://taiwantour.info/toyama-fishery/
愛樂,4,18小時,https://www.facebook.com/groups/traveler168/posts/1860313997817309,"2024台北新藝術博覽會 周末歡迎共襄盛舉 倒數計 精采預告 【2024 台北新藝術博覽會‧異次元 】 4/26-4/28 世貿一館▎「亞洲指標性」藝博會，堅持創新、引領潮流。▎共計九大展區，匯集48國、339位藝術家、3,000多件的頂尖作品創意展出。 ▎ACCUPASS購票：https://reurl.cc/nrdR6X精采預告https://youtu.be/k2d2BdchCMk 網 址：www.arts.org.tw  FB：https://www.facebook.com/artrevolutiontaipei/  IG：https://www.instagram.com/art_revolution_taipei  YT：https://www.youtube.com/@ArtRevolutionTaipei #台北新藝術博覽會 #2024ART #藝博會 #異次元 #世貿一館"
跟著領隊玩,3,19小時,https://www.facebook.com/groups/traveler168/posts/1860301424485233,到台東池上看金城武樹騎伯朗大道，當然要住在田裡面啦！你有看到我的民宿嗎！就是被大地畫布水田包圍的那一間阿！#台東住宿 #池上住宿 #田裡面民宿全文閱讀：https://taiwantour.info/tianli-homestay
啊賀！！現做捲餅舖 - 外星人小舖,1,1天,https://www.facebook.com/groups/traveler168/posts/1860168851165157,啊賀！！現做捲餅舖的「加熱即食」冷凍捲餅上市囉！只要5~8分鐘 就能輕鬆解決您的早、午、晚餐及點心宵夜12種品項任您選擇，營養美味是家庭主婦、上班族、學生族群解決三餐 、點心、宵夜的新選擇。一份兩塊，料理方式簡單快速，隨時隨地您都能享受一份像剛出爐酥脆好吃的捲餅，滿足您不同的需求喔現在訂購即可享有9折優惠，雙北地區滿一千元以上還可免付運費喔！溫馨提示：@所有商品冷凍保存有限期限三個月。@本產品不含任何防腐劑，餐點取出調理使用後，請務必於當期餐期食用完畢。
陳怡如,1,1天,https://www.facebook.com/groups/traveler168/posts/1860181317830577,熊寶貝多元化派車即日起邀請朋友加入官網即贈$20乘車金！不限次數 可累積！服務範圍：桃園、雙北、基隆東部中部南部皆可安排高速不加價夜間無加成24H線上客服為您服務一對一叫車 保障您的隱私歡迎預約、即時叫車機場接送、長途搭乘皆有優惠價貼心提醒尖峰時段務必提早預約叫車避免耽誤您寶貴時間歡迎叫車附上官網帳號@273bpjxd
謝露西,1,20小時,https://www.facebook.com/groups/traveler168/posts/1860199334495442,"義大利初遊!!!!超級超級喜歡波隆那這個城市的>""""""""<"
林子恩,2,20小時,https://www.facebook.com/groups/traveler168/posts/1860266224488753,2024年最夯的必備景  牛奶海登場囉 5-9月宜蘭龜山島牛奶海遊艇團來啦 趕緊私訊小編卡位啦預定成功送頭城島主龍蝦海鮮火鍋9折券龜…… 查看更多
金永豐,0,21小時,https://www.facebook.com/groups/traveler168/posts/1860240621157980,東京愛玩樂~高雄出發親子同遊 大人小孩都開心頂級夢幻國度-東京迪工尼著名姻綠神社-冰川神社人氣必遊-台場東京灣X彩虹大橋買東西、…… 查看更多
Qian Hedy,0,16小時,https://www.facebook.com/groups/traveler168/posts/1860367187811990,#淂藝洋行 #九份咖啡廳 #九份美食 #瑞芳美食想在九份老街找間老宅咖啡廳，推薦淂藝洋行，餐點實在又大份、價格合理。這次點了紅酒牛肉、鬆餅都很喜歡，味道很棒，店家氣氛也很溫馨
Kinmen Tour,0,16小時,https://www.facebook.com/groups/traveler168/posts/1860366151145427,無論你是尋找冒險、靜謐還是奇幻我們的 #極光團將帶你穿越極地探索大自然的神秘之美準備好啟程了嗎？立即預訂你的圓夢之旅請私訊或加LINE:https://lin.ee/TH78x6O服務熱線: 082-311990
魚路小棧精緻鍋物,1,23小時,https://www.facebook.com/groups/traveler168/posts/1860210814494294,Drama抓媽日常家庭聚餐也可以一人開一鍋！超大包廂還有卡拉OK日式木質風格設計的鍋物店蔬食、飲料、冰淇淋自助吧吃到飽蛤蜊10顆39元真的沒看錯呀！新北，完整分享https://dramastory2019.com/yuluhotpot/#美食部落客 #Drama抓媽日常#魚路小棧精緻鍋物 #金山旅遊
愛樂,4,18小時,https://www.facebook.com/groups/traveler168/posts/1860313997817309,"2024台北新藝術博覽會 周末歡迎共襄盛舉 倒數計 精采預告 【2024 台北新藝術博覽會‧異次元 】 4/26-4/28 世貿一館▎「亞洲指標性」藝博會，堅持創新、引領潮流。▎共計九大展區，匯集48國、339位藝術家、3,000多件的頂尖作品創意展出。 ▎ACCUPASS購票：https://reurl.cc/nrdR6X精采預告https://youtu.be/k2d2BdchCMk 網 址：www.arts.org.tw  FB：https://www.facebook.com/artrevolutiontaipei/  IG：https://www.instagram.com/art_revolution_taipei  YT：https://www.youtube.com/@ArtRevolutionTaipei #台北新藝術博覽會 #2024ART #藝博會 #異次元 #世貿一館"
啊賀！！現做捲餅舖 - 外星人小舖,1,1天,https://www.facebook.com/groups/traveler168/posts/1860168851165157,啊賀！！現做捲餅舖的「加熱即食」冷凍捲餅上市囉！只要5~8分鐘 就能輕鬆解決您的早、午、晚餐及點心宵夜12種品項任您選擇，營養美味是家庭主婦、上班族、學生族群解決三餐 、點心、宵夜的新選擇。一份兩塊，料理方式簡單快速，隨時隨地您都能享受一份像剛出爐酥脆好吃的捲餅，滿足您不同的需求喔現在訂購即可享有9折優惠，雙北地區滿一千元以上還可免付運費喔！溫馨提示：@所有商品冷凍保存有限期限三個月。@本產品不含任何防腐劑，餐點取出調理使用後，請務必於當期餐期食用完畢。
陳怡如,1,1天,https://www.facebook.com/groups/traveler168/posts/1860181317830577,熊寶貝多元化派車即日起邀請朋友加入官網即贈$20乘車金！不限次數 可累積！服務範圍：桃園、雙北、基隆東部中部南部皆可安排高速不加價夜間無加成24H線上客服為您服務一對一叫車 保障您的隱私歡迎預約、即時叫車機場接送、長途搭乘皆有優惠價貼心提醒尖峰時段務必提早預約叫車避免耽誤您寶貴時間歡迎叫車附上官網帳號@273bpjxd
金永豐,0,21小時,https://www.facebook.com/groups/traveler168/posts/1860240621157980,東京愛玩樂~高雄出發親子同遊 大人小孩都開心頂級夢幻國度-東京迪工尼著名姻綠神社-冰川神社人氣必遊-台場東京灣X彩虹大橋買東西、吃東西、買東西、吃東西：7/17（三）8/14（三）優惠價：31900/人 加入小編賴立即問LINE ID:  7272200門市地址：高雄市前鎮區永豐路20號 (彰化銀行對面)
江曼寧,0,22小時,https://www.facebook.com/groups/traveler168/posts/1860228917825817,
江曼寧,0,22小時,https://www.facebook.com/groups/traveler168/posts/1860222334493142,挑戰市場最高CP值巴爾幹全覽9國17天只要 85900  再送小費 (價值6800)【9國共10個世界文化遺產】1. 匈 牙 利- 布達佩斯舊城區2.羅馬尼亞- 吸血鬼德古拉城堡3.保加利亞- 粉色玫瑰卡贊勒克4. 科 索 沃 - 格拉恰尼察修道院5. 馬 其 頓 - 史高比耶首都6.阿爾巴尼亞-地拉那首都7.黑山共和國-科特峽灣世界遺產8.波士尼亞- 莫斯塔爾古橋9.克羅埃西亞-奧西耶克第四大城【包含五大景點入內門票】★普雷穆爾防禦性教堂★布朗城堡（吸血鬼德古拉）★鄉村露天博物館★博雅納教堂★格拉恰尼察修道院諮詢請洽 服務專員：雙向旅行社 曼曼 0970-978-427 https://bit.ly/各國旅遊優惠找曼曼------------------------- 更多旅遊行程 https://bit.ly/國內外旅遊資訊雙向國際旅行社 綜合旅行社 交觀綜字212400號│品保北644號
鄭玉潔,0,23小時,https://www.facebook.com/groups/traveler168/posts/1860214864493889,這暖湯服務給過嗎
Kammon旅遊,0,23小時,https://www.facebook.com/groups/traveler168/posts/1860198724495503,
高樂天,1,1天,https://www.facebook.com/groups/traveler168/posts/1860067451175297,新店報報!!!!台南知名咖啡店朝連鎖品牌邁進（要加盟需要深思熟慮喔！）簡約文青的店面超舒適的「Django決哥手烘咖啡吧-裕農店」。     「Django決哥手烘咖啡吧」在台南總共有6間營業店面 ，其中小高分享過「決哥咖啡-糖果莊園」卻走老宅早午餐氛圍，而這間「Django決哥手烘咖啡吧-裕農店」開幕至今僅3個月時間，今天原本想買路易莎的咖啡來解解饞，真失望竟然發現路易莎已經結束營業，就在不遠處發現這家決哥咖啡吧有營業，因此就決定進去外帶與各位分享，品嚐完覺得好喝定價合理範圍內，值得樂天小高推薦給您品嚐看看。#Django決哥手烘咖啡吧裕農店 #Django決哥手烘咖啡吧 #台南 #懶人包 #台南美食 #甜點 #東區 #早午餐 #咖啡 #樂天小高 #美食 #樂天 #吃
跟著領隊玩,4,1天,https://www.facebook.com/groups/traveler168/posts/1860141954501180,Google多達千則4.5分蘭嶼第一必吃竟然不是飛魚，而是冰心透清涼的這一杯，來到蘭嶼的人天天都在吃冰，因為真的太熱了！Google多達千則4.4分好評呢！全文閱讀：https://taiwantour.info/wenwen-taro-ice/
張育萍,1,23小時,https://www.facebook.com/groups/traveler168/posts/1860194207829288,台北捷運國父紀念館站新開幕早午餐咖啡廳，「M5 Coffee介丘咖啡台北光復門市」一開幕就爆紅，一早8點營業，純白玻璃屋門面，網美打卡景點，超美漸層山脈調飲「中央」抹茶咖啡必喝，一早用咖啡療癒一日美好開始。來去喝：https://upssmile.com/216338/m5coffee-officialM5 Coffee介丘咖啡台北光復門市。電話：02 2775 5008。地址：106台北市大安區光復南路346巷56號1樓。營業時間：一二三四五08:00–18:30。六日10:00–18:30。
湯宗霖,0,1天,https://www.facebook.com/groups/traveler168/posts/1860154707833238,回憶 • TRAVEL ｜USA • CANADA ｜2020/ 0207 - 0215漫遊美國西雅圖，與加拿大精選景點也紀錄下旅行，美好的回憶。…… 查看更多
跟著領隊玩,4,1天,https://www.facebook.com/groups/traveler168/posts/1860141241167918,Google多達千則4.5分蘭嶼第一必吃竟然不是飛魚，而是冰心透清涼的這一杯，來到蘭嶼的人天天都在吃冰，因為真的太熱了！Google多達千則4.4分好評呢！全文閱讀：https://taiwantour.info/wenwen-taro-ice/
Sinian Li,1,1天,https://www.facebook.com/groups/traveler168/posts/1860124584502917,比字典還厚的蚵仔煎 竟然只要銅板價 這份量都可以分成兩份賣啦！ 看看老闆用料多豪邁！興達港-邱家蚵仔煎
陳羽祥,7,3月17日,https://www.facebook.com/groups/traveler168/posts/1835929250255784,在麒麟峰溫泉沐浴，身心溫暖，肌膚嬌嫩滑潤，心靈煥然一新。碳酸氫鈉泉的獨特魅力，真正讓人體驗到溫泉的神奇。这趟旅程，絕對是身心靈的完美療癒。
跟著領隊玩,4,1天,https://www.facebook.com/groups/traveler168/posts/1860085064506869,全新特色公園山訓設施，有林間擺盪、密林偵查、攀爬高手、叢林危機、翻越終點等六道關卡，多達15種以上的山訓遊戲，讓小朋友玩到不想走。Google高達4.4顆星！#桃園景點 #桃園特色公園全文閱讀：https://taiwantour.info/greenwood-park/
金永豐,0,21小時,https://www.facebook.com/groups/traveler168/posts/1860240621157980,東京愛玩樂~高雄出發親子同遊 大人小孩都開心頂級夢幻國度-東京迪工尼著名姻綠神社-冰川神社人氣必遊-台場東京灣X彩虹大橋買東西、吃東西、買東西、吃東西：7/17（三）8/14（三）優惠價：31900/人 加入小編賴立即問LINE ID:  7272200門市地址：高雄市前鎮區永豐路20號 (彰化銀行對面)
江曼寧,0,22小時,https://www.facebook.com/groups/traveler168/posts/1860222334493142,挑戰市場最高CP值巴爾幹全覽9國17天只要 85900  再送小費 (價值6800)【9國共10個世界文化遺產】1. 匈 牙 利- 布達佩斯舊城區2.羅馬尼亞- 吸血鬼德古拉城堡3.保加利亞- 粉色玫瑰卡贊勒克4. 科 索 沃 - 格拉恰尼察修道院5. 馬 其 頓 - 史高比耶首都6.阿爾巴尼亞-地拉那首都7.黑山共和國-科特峽灣世界遺產8.波士尼亞- 莫斯塔爾古橋9.克羅埃西亞-奧西耶克第四大城【包含五大景點入內門票】★普雷穆爾防禦性教堂★布朗城堡（吸血鬼德古拉）★鄉村露天博物館★博雅納教堂★格拉恰尼察修道院諮詢請洽 服務專員：雙向旅行社 曼曼 0970-978-427 https://bit.ly/各國旅遊優惠找曼曼------------------------- 更多旅遊行程 https://bit.ly/國內外旅遊資訊雙向國際旅行社 綜合旅行社 交觀綜字212400號│品保北644號
張育萍,1,23小時,https://www.facebook.com/groups/traveler168/posts/1860194207829288,台北捷運國父紀念館站新開幕早午餐咖啡廳，「M5 Coffee介丘咖啡台北光復門市」一開幕就爆紅，一早8點營業，純白玻璃屋門面，網美打卡景點，超美漸層山脈調飲「中央」抹茶咖啡必喝，一早用咖啡療癒一日美好開始。來去喝：https://upssmile.com/216338/m5coffee-officialM5 Coffee介丘咖啡台北光復門市。電話：02 2775 5008。地址：106台北市大安區光復南路346巷56號1樓。營業時間：一二三四五08:00–18:30。六日10:00–18:30。
跟著領隊玩,4,1天,https://www.facebook.com/groups/traveler168/posts/1860085064506869,全新特色公園山訓設施，有林間擺盪、密林偵查、攀爬高手、叢林危機、翻越終點等六道關卡，多達15種以上的山訓遊戲，讓小朋友玩到不想走。Google高達4.4顆星！#桃園景點 #桃園特色公園全文閱讀：https://taiwantour.info/greenwood-park/
Lu Zheng,0,1天,https://www.facebook.com/groups/traveler168/posts/1860084201173622,香港最美步道 - 龙脊想趁在香港的几天徒步，原本种草麦理浩径，但无奈时间有限，赶上大热天，于是想选个能快速往返，不太累，风景又好的线路。 找到了【龙脊 】- 它被《孤独星球》评为香港最美徒步线路。 往返3小时，山脊能看两边的海，一路风景都不错。到筲箕湾坐巴士到石澳，大约20来分钟。一路盘山公路，路途见到有不少骑行的人，冲得比车快。
Jason Li,0,1天,https://www.facebook.com/groups/traveler168/posts/1860083017840407,台灣｜台北｜一個得接受的打卡地難忘的台灣之行
Rick Chang,1,1天,https://www.facebook.com/groups/traveler168/posts/1860077764507599,小豬漫步──在小豬漫步。
跟著領隊玩,8,1天,https://www.facebook.com/groups/traveler168/posts/1860030167845692,玩水.油桐花秘境基隆在地人玩水秘境，除了天然的河道之外，尚有攔沙壩的嬉水區，還有油桐花和隱藏版亞馬遜河般的拍照美景呢！全文閱讀：https://taiwantour.info/keelung-mystery/
陳香樺,1,1天,https://www.facebook.com/groups/traveler168/posts/1859804434534932,在曼谷潑水節的這週 我體驗了↓⒈sala rattanakosin鄭王廟落日餐廳-拍照首選一樓露天或二樓靠窗的位置 要先預約ᜊ•ᴗ•ᜊ⒉搭嘟嘟車-遇到的司機都開超快 好玩！⒊藝術之家做手鍊-珠子的選擇很多 100泰銖就能串自己的手鍊 舒服的小天地ᵒ̴̶̷̤ɞᵒ̴̶̷̤ ⒋icon siam-光是G層水上市集的小吃 就讓我逛的頭昏眼花𖦹‎𖦹‎⒌必吃的連鎖餐廳kub kao kub pla-咖哩蟹真的給他大拇指！有夠下飯 滿滿蟹肉好滿足🙂‍↔️⒍Pranakorn拍那空船粉-船麵小碗只要18泰銖（這什麼神仙價格）推薦點炸豬肉餃子 很脆又不油膩⒎考山路/暹羅潑水音樂節/Siam Square潑水節-潑的好快樂！⒏曼谷各大商場逛街-我在centralworld大迷路⋯整個商場有夠大https://www.instagram.com/reel/C6BusaNJ75G/?igsh=MWZna2Zic2Vsam5wMw==
陳莉婷,0,1天,https://www.facebook.com/groups/traveler168/posts/1859952811186761,紅囍串燒 漁人町店
湯宗霖,1,1天,https://www.facebook.com/groups/traveler168/posts/1859835491198493,回憶 • TRAVEL ｜USA • CANADA ｜2020/ 0207 - 0215漫遊美國西雅圖，與加拿大精選景點也紀錄下旅行，美好的回憶。熱愛旅行的你，也不忘紀錄下旅行的回憶
跟著領隊玩,3,1天,https://www.facebook.com/groups/traveler168/posts/1859745201207522,世界都讚嘆坑道三年不到的時間，2個師、3個步兵營、1個工兵營以及1個傾卸車連，打造了讓世界都讚嘆的北海坑道，這裡和大漢據點都是藍眼淚的拍照景點喔！全文閱讀：https://taiwantour.info/mazu-hang-road/
